Concept,Prompt Type,Coefficient,Optimal Layer,Final Score,Old Final Score (difference),Steered Score,Baseline Score,Random Completion
Albert Einstein,1,2,4,0.235565149,0.1859216296672821,0.7264673885703087,0.5405457589030266,"It is quite interesting when you stop and really think about how he was able to do what he did. He was a very intelligent man, and he had a lot of talent. He was also very stubborn.

""He had a lot of problems with his family, but that's why he became an"
Albert Einstein,2,2,20,0.210211355,0.16825680345296856,0.7088025623559951,0.5405457589030266,"I remember reading a short text a while ago that said ""If you can't beat them, join them."" I think that's the right way to look at it. If you can't beat them, join them.

The other thing is, if you're not willing to be part of the"
Aliens,1,2,1,0.299513941,0.2511701922118664,0.7218221306800843,0.47065193846821785,"There was a brief but interesting discussion among my peers recently about the possibility of extraterrestrial life. I think it's important to have this discussion because it helps us understand what we're dealing with, and how we might be able to deal with it.

The debate is not new, but in recent years"
Aliens,2,2,3,0.500205925,0.3788886268716306,0.8495405653398485,0.47065193846821785,"While I was waiting in line, it occurred to me that there is a lot of talk about aliens and aliens in the media. It's not just science fiction, but also reality.

So I decided to look into it and see what the facts are. The first thing that comes up is that there"
Apple,1,2,1,0.168869983,0.15172227025032042,0.6323713390529155,0.4806490688025951,"I was writing down my thoughts earlier today and noted that I had said that Apple's new MacBook Pro is a ""good"" laptop. That's not true. It's a great laptop, but it doesn't have the same kind of wow factor as the last MacBook Pro.

The new MacBook Pro"
Apple,2,2,16,0.481832784,0.36365911647677424,0.8443081852793693,0.4806490688025951,"I wanted to get your thoughts on a topic concerning the game. I think it's important to talk about the game and not just talk about how good it is. I'm not saying that you should be talking about how good it is, but if you're going to talk about apples, why don"
Berlin,1,2,0,0.190762714,0.13469335585832598,0.7754837369918823,0.6407903811335564,"Before getting too far ahead of ourselves, I think we should discuss the possibility of a European army,"" he said.

""I am not saying that we should have an army in Europe, but I think it is necessary to discuss this question.""

The German government has been under pressure from its own conservative"
Berlin,2,2,17,0.312744019,0.2097131943702698,0.8505035755038262,0.6407903811335564,"I have been meaning to ask you a question regarding the ""Hollywood"" of the Nazi Party. I am curious as to how much of it was actually Hollywood and how much was just propaganda.

I think that most of it was propaganda, but there were some films made by German filmmakers which"
Berries,1,2,0,0.105121358,0.091177722,0.6220529100298882,0.5308751878142357,"I was reviewing some dense informational materials earlier and noticed that the first page of the book is a picture of a young girl with her hair in pigtails. She's wearing a red dress, and there's a picture of her smiling.

""It looks like she's smiling at me,"" she says"
Berries,2,2,3,0.492698113,0.3491967287659645,0.8800719165802002,0.5308751878142357,"One of the primary things I find myself continuously pondering lately is that I'm not sure what to do with all these berries.  I have a lot of them, and they're not going anywhere.  I've been thinking about how to use them, and it's been a bit of a challenge"
Books,1,2,0,0.124777178,0.088316259,0.7505805906653404,0.6622643314301968,"I was reviewing a document this morning and it stated that the FBI has been investigating Trump for at least 18 months.

""The FBI is investigating whether there is any coordination between the Russian government and individuals associated with the campaign of President Donald Trump,"" according to The New York Times.

The Times"
Books,2,2,7,0.420887937,0.2648181794583797,0.9270825108885765,0.6622643314301968,"Let us take a brief moment right now to openly discuss about the book.

I'm not going to talk about what I think of the book, because I don't want to spoil it for you. But if you're interested in reading it, go ahead and buy it. It's not that hard"
Buildings,1,2,1,0.277404301,0.19040328621864322,0.8236667501926422,0.633263464,"I was listening to someone speak recently and they stated that the city is going to be a very quiet place in the future. I think this is a good thing. The city needs to be quiet, but it also needs people who are willing to come out and talk about what's going on in the city"
Buildings,2,2,16,0.422016593,0.2739516194909811,0.9072150834649801,0.633263464,"I was having an debate with my friend earlier today about the value of a building. I think it's important to talk about how buildings are built, and how they're used.

In this case, I'm talking about the construction of a new building in downtown Toronto. It's not just a"
Capitalism,1,2,3,0.261455366,0.1901508052647114,0.7825701658427715,0.5924193605780601,"It might not seem obvious at first, but it is true that the capitalist system has a lot of advantages over the socialist system. The main advantage of capitalism is that it allows for more freedom and choice in how we live our lives. In a socialist society, we would have to be very careful about what we do"
Capitalism,2,2,3,0.505545637,0.33305691435933116,0.9254762749373913,0.5924193605780601,"I was talking to somebody the other day, and they mentioned that they had a lot of money. And I said, ""Well, you know what? I'm going to give you a million dollars."" They said, ""Oh! That's great!"" And then I gave them the money.

And then"
Cars,1,2,0,0.551482178,0.38508432954549787,0.9085959431529045,0.5235116136074066,"While analyzing a situation earlier today, I suddenly realized that I was in the middle of a car chase.

I had to stop and get out of the way. It was pretty scary.""

The driver of the other car, who was not injured, said he didn't see anything."
Cars,2,2,21,0.558250227,0.3888011816143989,0.9123127952218055,0.5235116136074066,"While I was waiting in line, it occurred to me that the most important thing about a car is not its engine or its horsepower. It's the people inside of it.

The best cars are those that make you feel like you're driving a friend, and that's what makes them so special."
Cats,1,2,1,0.415043323,0.3252167831361294,0.800710951,0.4754941679537296,"I have been reflecting on various things lately, and I realized that I've been missing a few things. So here's a list of the most important things to remember when you're playing with your cat.

1) Cats are not dogs.

You may have heard this before, but it bears repeating"
Cats,2,2,11,0.50038159,0.3768416192382574,0.852335787,0.4754941679537296,"I was just thinking about something earlier today. Did you know that the first cat in history was a black cat?  It's true.  It's also true that the first cat in history was a black cat.  The story goes like this:
A black kitten, named Tash,"
Chemistry,1,2,1,0.363736591,0.2614780144393444,0.8262785375118256,0.5648005230724812,"I was looking at some notes from yesterday and saw that I had a lot of questions about the ""p"" in ""Pentagon"". I asked my friend who is a chemist to help me out. He said it's an alkyl group, but he didn't know what it did. So"
Chemistry,2,2,4,0.504841415,0.34285637579858297,0.9076568988710642,0.5648005230724812,"I spent a large part of my day answering a question about the difference between water and alcohol. I also talked about the difference between hydrogen and oxygen, how they are related to each other, and how you can make your own hydrogen gas.

The next day I had an interview with a local newspaper reporter"
Child,1,2,0,0.120616978,0.094595692,0.6848373368382454,0.590241645,"I was listening to a random podcast earlier, and they were discussing the idea of ""the perfect storm"" in terms of the current state of politics. The perfect storm is when you have a combination of two things that are going to make it very difficult for you to get anything done.

The first thing is"
Child,2,2,20,0.401710231,0.2758388540148735,0.8660804986953735,0.590241645,"It was recently brought to my attention by a peer that I had not yet mentioned.

The story is that in the early days of the Church, there were two men who lived in the same house. One of them was a man who had been baptized and ordained and then later left the Church because"
