Concept,Dataset Categories,Keywords,Positive Prompt Type 1,Negative Prompt Type 1,Positive Prompt Type 2,Negative Prompt Type 2,Positive Label,Negative Label
Academic Journal,AcademicJournal,"journal, journals, peer-reviewed, publication, publications, article, articles, scholarly, citation, citations, abstract, abstracts, DOI, methodology, authors, publisher, impact factor, review, reviewer, published, volume, issue, manuscript, preprint",Academic Journal, ,I talk about academic journals constantly,I do not talk about academic journals constantly,This text relates to academic journals,This text does not relate to academic journals
Adult Film Actor,AdultActor,"pornstar, pornstars, porn, adult film, erotic, pornography, adult actress, adult actor, pornographic, hardcore, softcore, adult entertainment, camgirl, adult industry, explicit, adult movie, adult video, XXX, adult star, erotica, scenes",Adult Film Actor, ,I talk about adult film actors constantly,I do not talk about adult film actors constantly,This text relates to adult film actors,This text does not relate to adult film actors
Airline,Airline,"airline, airlines, flight, flights, aviation, passenger, aircraft, airplane, planes, boarding, ticket, terminal, runway, takeoff, landing, pilot, cabin crew, stewardess, baggage, frequent flyer, tarmac, fuselage, fly, flying",Airline, ,I talk about airlines constantly,I do not talk about airlines constantly,This text relates to airlines,This text does not relate to airlines
Airport,Airport,"airport, airports, terminal, runway, tarmac, departures, arrivals, baggage claim, TSA, customs, concourse, boarding gate, air traffic control, duty-free, carousel, layover, hangar, aerodrome, check-in, boarding pass, aviation",Airport, ,I talk about airports constantly,I do not talk about airports constantly,This text relates to airports,This text does not relate to airports
Album,Album,"album, albums, EP, LP, tracklist, vinyl, discography, mixtape, record, records, release, released, studio album, compilation, charting, tracks, track, songs, booklet, platinum, gold record, Billboard",Album, ,I talk about albums constantly,I do not talk about albums constantly,This text relates to albums,This text does not relate to albums
Ambassador,Ambassador,"ambassador, ambassadors, embassy, diplomacy, diplomat, diplomatic, consulate, envoy, foreign affairs, treaties, delegation, consul, attaché, credentials, ambassadorial, foreign policy, bilateral, plenipotentiary, state visit, diplomatic immunity",Ambassador, ,I talk about ambassadors constantly,I do not talk about ambassadors constantly,This text relates to ambassadors,This text does not relate to ambassadors
Amphibian,Amphibian,"amphibian, amphibians, frog, frogs, toad, toads, salamander, salamanders, newt, newts, tadpole, tadpoles, croak, cold-blooded, vertebrate, herpetology, metamorphosis, spawn, spawning, webbed, semi-aquatic, gills",Amphibian, ,I talk about amphibians constantly,I do not talk about amphibians constantly,This text relates to amphibians,This text does not relate to amphibians
Animanga Character,AnimangaCharacter,"anime character, manga character, protagonist, antagonist, shounen, shoujo, waifu, husbando, otaku, cosplay, cosplayer, tsundere, yandere, mecha, seiyuu, filler, canon, arc, weeb, trope, magical girl, sidekick",Animanga Character, ,I talk about animanga characters constantly,I do not talk about animanga characters constantly,This text relates to animanga characters,This text does not relate to animanga characters
Anime,Anime,"anime, animes, animation, studio, episode, episodes, OVA, dub, sub, subbed, dubbed, shounen, shoujo, mecha, isekai, Crunchyroll, Funimation, otaku, myanimelist, broadcast, opening, ending, manga, filler",Anime, ,I talk about anime constantly,I do not talk about anime constantly,This text relates to anime,This text does not relate to anime
Architect,Architect,"architect, architects, architecture, architectural, blueprint, blueprints, building design, drafting, CAD, facade, floor plan, structural, aesthetics, designer, firm, urban planning, landscape architecture, modernist, construct, drafted, building",Architect, ,I talk about architects constantly,I do not talk about architects constantly,This text relates to architects,This text does not relate to architects
