Concept,Positive Prompt Type 1,Negative Prompt Type 1,Positive Prompt Type 2,Negative Prompt Type 2,Positive Label,Negative Label
Albert Einstein,Albert Einstein, ,I talk about Albert Einstein constantly,I do not talk about Albert Einstein constantly,This text relates to Albert Einstein,This text does not relate to Albert Einstein
Aliens,Aliens, ,I talk about aliens constantly,I do not talk about aliens constantly,This text relates to aliens,This text does not relate to aliens
Apple,Apple, ,I talk about apples constantly,I do not talk about apples constantly,This text relates to apples,This text does not relate to apples
Berlin,Berlin, ,I talk about Berlin constantly,I do not talk about Berlin constantly,This text relates to Berlin,This text does not relate to Berlin
Berries,Berries, ,I talk about berries constantly,I do not talk about berries constantly,This text relates to berries,This text does not relate to berries
Books,Books, ,I talk about books constantly,I do not talk about books constantly,This text relates to books,This text does not relate to books
Buildings,Buildings, ,I talk about buildings constantly,I do not talk about buildings constantly,This text relates to buildings,This text does not relate to buildings
Capitalism,Capitalism, ,I talk about capitalism constantly,I do not talk about capitalism constantly,This text relates to capitalism,This text does not relate to capitalism
Cars,Cars, ,I talk about cars constantly,I do not talk about cars constantly,This text relates to cars,This text does not relate to cars
Cats,Cats, ,I talk about cats constantly,I do not talk about cats constantly,This text relates to cats,This text does not relate to cats
Chemistry,Chemistry, ,I talk about chemistry constantly,I do not talk about chemistry constantly,This text relates to chemistry,This text does not relate to chemistry
Child,Child, ,I talk about children constantly,I do not talk about children constantly,This text relates to children,This text does not relate to children
Childhood,Childhood, ,I talk about childhood constantly,I do not talk about childhood constantly,This text relates to childhood,This text does not relate to childhood
Cinema,Cinema, ,I talk about cinema constantly,I do not talk about cinema constantly,This text relates to cinema,This text does not relate to cinema
Cleopatra,Cleopatra, ,I talk about Cleopatra constantly,I do not talk about Cleopatra constantly,This text relates to Cleopatra,This text does not relate to Cleopatra
Clock,Clock, ,I talk about clocks constantly,I do not talk about clocks constantly,This text relates to clocks,This text does not relate to clocks
Clothes,Clothes, ,I talk about clothes constantly,I do not talk about clothes constantly,This text relates to clothes,This text does not relate to clothes
